uid,pid,hid,seq,hzone,ozone,dzone,purp,mode,tst,tet,freq
877,census_438,census_438,1,Lambeth,"Westminster,City of London",Lambeth,work,pt,1014,1033,1000
878,census_439,census_439,0,Lambeth,Lambeth,Wandsworth,work,pt,448,469,1000
879,census_439,census_439,1,Lambeth,Wandsworth,Lambeth,work,pt,994,1015,1000
880,census_440,census_440,0,Newham,Newham,"Westminster,City of London",work,car,449,470,1000
881,census_440,census_440,1,Newham,"Westminster,City of London",Newham,work,car,917,938,1000
882,census_441,census_441,0,Kingston upon Thames,Kingston upon Thames,Kingston upon Thames,work,pt,465,474,1000
883,census_441,census_441,1,Kingston upon Thames,Kingston upon Thames,Kingston upon Thames,work,pt,984,993,1000
884,census_442,census_442,0,Tower Hamlets,Tower Hamlets,Islington,education,pt,524,537,1000
885,census_442,census_442,1,Tower Hamlets,Islington,Tower Hamlets,education,pt,1085,1098,1000
886,census_443,census_443,0,Lewisham,Lewisham,"Westminster,City of London",work,pt,476,491,1000
887,census_443,census_443,1,Lewisham,"Westminster,City of London",Lewisham,work,pt,1035,1050,1000
888,census_444,census_444,0,Tower Hamlets,Tower Hamlets,Tower Hamlets,work,pt,521,526,1000
889,census_444,census_444,1,Tower Hamlets,Tower Hamlets,Tower Hamlets,work,pt,957,962,1000
890,census_445,census_445,0,Haringey,Haringey,Camden,work,pt,498,505,1000
891,census_445,census_445,1,Haringey,Camden,Haringey,work,pt,1004,1011,1000
892,census_446,census_446,0,Hackney,Hackney,Camden,work,pt,480,493,1000
893,census_446,census_446,1,Hackney,Camden,Hackney,work,pt,1003,1016,1000
894,census_447,census_447,0,Islington,Islington,"Westminster,City of London",work,pt,481,486,1000
895,census_447,census_447,1,Islington,"Westminster,City of London",Islington,work,pt,994,999,1000
896,census_448,census_448,0,Islington,Islington,Islington,work,car,444,447,1000
897,census_448,census_448,1,Islington,Islington,Islington,work,car,983,986,1000
898,census_449,census_449,0,Bromley,Bromley,Tower Hamlets,work,car,572,593,1000
899,census_449,census_449,1,Bromley,Tower Hamlets,Bromley,work,car,1092,1113,1000
900,census_450,census_450,0,Hillingdon,Hillingdon,Brent,work,car,435,458,1000
901,census_450,census_450,1,Hillingdon,Brent,Hillingdon,work,car,976,999,1000
902,census_451,census_451,0,Hammersmith and Fulham,Hammersmith and Fulham,"Westminster,City of London",work,pt,528,545,1000
903,census_451,census_451,1,Hammersmith and Fulham,"Westminster,City of London",Hammersmith and Fulham,work,pt,1043,1060,1000
904,census_452,census_452,0,Enfield,Enfield,"Westminster,City of London",work,pt,509,536,1000
905,census_452,census_452,1,Enfield,"Westminster,City of London",Enfield,work,pt,982,1009,1000
906,census_453,census_453,0,Harrow,Harrow,"Westminster,City of London",work,car,442,471,1000
907,census_453,census_453,1,Harrow,"Westminster,City of London",Harrow,work,car,909,938,1000
908,census_454,census_454,0,Southwark,Southwark,Southwark,work,pt,473,480,1000
909,census_454,census_454,1,Southwark,Southwark,Southwark,work,pt,935,942,1000
910,census_455,census_455,0,Lambeth,Lambeth,Camden,education,pt,441,456,1000
911,census_455,census_455,1,Lambeth,Camden,Lambeth,education,pt,942,957,1000
912,census_456,census_456,0,Brent,Brent,Harrow,work,pt,512,525,1000
913,census_456,census_456,1,Brent,Harrow,Brent,work,pt,1119,1132,1000
914,census_457,census_457,0,Hammersmith and Fulham,Hammersmith and Fulham,Hammersmith and Fulham,work,pt,430,439,1000
915,census_457,census_457,1,Hammersmith and Fulham,Hammersmith and Fulham,Hammersmith and Fulham,work,pt,902,911,1000
916,census_458,census_458,0,Havering,Havering,Barking and Dagenham,work,pt,525,546,1000
917,census_458,census_458,1,Havering,Barking and Dagenham,Havering,work,pt,1025,1046,1000
918,census_459,census_459,0,Croydon,Croydon,Croydon,work,pt,516,531,1000
919,census_459,census_459,1,Croydon,Croydon,Croydon,work,pt,1054,1069,1000
920,census_460,census_460,0,Harrow,Harrow,Harrow,work,car,485,486,1000
921,census_460,census_460,1,Harrow,Harrow,Harrow,work,car,974,975,1000
922,census_461,census_461,0,Barnet,Barnet,Camden,work,car,461,482,1000
923,census_461,census_461,1,Barnet,Camden,Barnet,work,car,896,917,1000
924,census_462,census_462,0,Ealing,Ealing,Ealing,education,pt,473,486,1000
925,census_462,census_462,1,Ealing,Ealing,Ealing,education,pt,975,988,1000
926,census_463,census_463,0,Ealing,Ealing,Ealing,work,pt,548,559,1000
927,census_463,census_463,1,Ealing,Ealing,Ealing,work,pt,1056,1067,1000
928,census_464,census_464,0,Wandsworth,Wandsworth,Richmond upon Thames,work,pt,562,573,1000
929,census_464,census_464,1,Wandsworth,Richmond upon Thames,Wandsworth,work,pt,1132,1143,1000
930,census_465,census_465,0,Bromley,Bromley,Croydon,work,pt,470,483,1000
931,census_465,census_465,1,Bromley,Croydon,Bromley,work,pt,896,909,1000
932,census_466,census_466,0,Hounslow,Hounslow,Kingston upon Thames,work,pt,435,452,1000
933,census_466,census_466,1,Hounslow,Kingston upon Thames,Hounslow,work,pt,958,975,1000
934,census_467,census_467,0,Enfield,Enfield,Haringey,work,car,490,501,1000
935,census_467,census_467,1,Enfield,Haringey,Enfield,work,car,958,969,1000
936,census_468,census_468,0,Hillingdon,Hillingdon,Hillingdon,work,pt,498,499,1000
937,census_468,census_468,1,Hillingdon,Hillingdon,Hillingdon,work,pt,977,978,1000
938,census_469,census_469,0,Hackney,Hackney,Enfield,education,pt,501,516,1000
939,census_469,census_469,1,Hackney,Enfield,Hackney,education,pt,952,967,1000
940,census_470,census_470,0,Ealing,Ealing,Ealing,work,car,579,594,1000
941,census_470,census_470,1,Ealing,Ealing,Ealing,work,car,1108,1123,1000
942,census_471,census_471,0,Brent,Brent,Ealing,work,pt,509,522,1000
943,census_471,census_471,1,Brent,Ealing,Brent,work,pt,994,1007,1000
944,census_472,census_472,0,Havering,Havering,Havering,work,pt,524,539,1000
945,census_472,census_472,1,Havering,Havering,Havering,work,pt,1040,1055,1000
946,census_473,census_473,0,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,565,566,1000
947,census_473,census_473,1,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,1050,1051,1000
948,census_474,census_474,0,Bromley,Bromley,Bromley,work,pt,421,424,1000
949,census_474,census_474,1,Bromley,Bromley,Bromley,work,pt,1011,1014,1000
950,census_475,census_475,0,Wandsworth,Wandsworth,Kensington and Chelsea,work,pt,534,539,1000
951,census_475,census_475,1,Wandsworth,Kensington and Chelsea,Wandsworth,work,pt,1076,1081,1000
952,census_476,census_476,0,Barnet,Barnet,"Westminster,City of London",education,pt,525,544,1000
953,census_476,census_476,1,Barnet,"Westminster,City of London",Barnet,education,pt,1034,1053,1000
954,census_477,census_477,0,Hounslow,Hounslow,Hillingdon,work,car,486,513,1000
955,census_477,census_477,1,Hounslow,Hillingdon,Hounslow,work,car,1125,1152,1000
956,census_478,census_478,0,Camden,Camden,Barnet,work,pt,487,510,1000
957,census_478,census_478,1,Camden,Barnet,Camden,work,pt,1038,1061,1000
958,census_479,census_479,0,Kingston upon Thames,Kingston upon Thames,Kingston upon Thames,work,pt,483,490,1000
959,census_479,census_479,1,Kingston upon Thames,Kingston upon Thames,Kingston upon Thames,work,pt,1036,1043,1000
960,census_480,census_480,0,Greenwich,Greenwich,Hounslow,work,pt,508,551,1000
961,census_480,census_480,1,Greenwich,Hounslow,Greenwich,work,pt,1018,1061,1000
962,census_481,census_481,0,Harrow,Harrow,Harrow,education,pt,510,513,1000
963,census_481,census_481,1,Harrow,Harrow,Harrow,education,pt,1020,1023,1000
964,census_482,census_482,0,Greenwich,Greenwich,Hackney,education,car,520,549,1000
965,census_482,census_482,1,Greenwich,Hackney,Greenwich,education,car,1086,1115,1000
966,census_483,census_483,0,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,car,503,512,1000
967,census_483,census_483,1,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,car,1086,1095,1000
968,census_484,census_484,0,Bexley,Bexley,Lewisham,work,pt,492,517,1000
969,census_484,census_484,1,Bexley,Lewisham,Bexley,work,pt,1088,1113,1000
970,census_485,census_485,0,Tower Hamlets,Tower Hamlets,Kensington and Chelsea,work,pt,498,521,1000
971,census_485,census_485,1,Tower Hamlets,Kensington and Chelsea,Tower Hamlets,work,pt,1104,1127,1000
972,census_486,census_486,0,Enfield,Enfield,Barnet,work,pt,446,467,1000
973,census_486,census_486,1,Enfield,Barnet,Enfield,work,pt,932,953,1000
974,census_487,census_487,0,Wandsworth,Wandsworth,Wandsworth,work,pt,491,500,1000
975,census_487,census_487,1,Wandsworth,Wandsworth,Wandsworth,work,pt,985,994,1000
976,census_488,census_488,0,Wandsworth,Wandsworth,Richmond upon Thames,work,pt,638,645,1000
977,census_488,census_488,1,Wandsworth,Richmond upon Thames,Wandsworth,work,pt,1225,1232,1000
978,census_489,census_489,0,Camden,Camden,Camden,education,pt,526,529,1000
979,census_489,census_489,1,Camden,Camden,Camden,education,pt,994,997,1000
980,census_490,census_490,0,Wandsworth,Wandsworth,"Westminster,City of London",education,pt,502,517,1000
981,census_490,census_490,1,Wandsworth,"Westminster,City of London",Wandsworth,education,pt,1088,1103,1000
982,census_491,census_491,0,Barnet,Barnet,Barnet,education,car,428,443,1000
983,census_491,census_491,1,Barnet,Barnet,Barnet,education,car,995,1010,1000
984,census_492,census_492,0,Hillingdon,Hillingdon,Brent,work,car,490,513,1000
985,census_492,census_492,1,Hillingdon,Brent,Hillingdon,work,car,1039,1062,1000
986,census_493,census_493,0,Bromley,Bromley,Tower Hamlets,work,pt,461,484,1000
987,census_493,census_493,1,Bromley,Tower Hamlets,Bromley,work,pt,897,920,1000
988,census_494,census_494,0,Croydon,Croydon,Merton,work,pt,524,535,1000
989,census_494,census_494,1,Croydon,Merton,Croydon,work,pt,1012,1023,1000
990,census_495,census_495,0,Richmond upon Thames,Richmond upon Thames,"Westminster,City of London",work,pt,486,505,1000
991,census_495,census_495,1,Richmond upon Thames,"Westminster,City of London",Richmond upon Thames,work,pt,1033,1052,1000
992,census_496,census_496,0,Kensington and Chelsea,Kensington and Chelsea,"Westminster,City of London",work,pt,559,568,1000
993,census_496,census_496,1,Kensington and Chelsea,"Westminster,City of London",Kensington and Chelsea,work,pt,1044,1053,1000
994,census_497,census_497,0,Greenwich,Greenwich,Greenwich,education,pt,490,495,1000
995,census_497,census_497,1,Greenwich,Greenwich,Greenwich,education,pt,1039,1044,1000
996,census_498,census_498,0,Southwark,Southwark,"Westminster,City of London",work,car,495,502,1000
997,census_498,census_498,1,Southwark,"Westminster,City of London",Southwark,work,car,1054,1061,1000
998,census_499,census_499,0,Redbridge,Redbridge,Kensington and Chelsea,work,pt,481,530,1000
999,census_499,census_499,1,Redbridge,Kensington and Chelsea,Redbridge,work,pt,1008,1057,1000
1000,census_500,census_500,0,Merton,Merton,"Westminster,City of London",work,pt,492,519,1000
1001,census_500,census_500,1,Merton,"Westminster,City of London",Merton,work,pt,1056,1083,1000
1002,census_501,census_501,0,Southwark,Southwark,Harrow,work,pt,443,488,1000
1003,census_501,census_501,1,Southwark,Harrow,Southwark,work,pt,949,994,1000
1004,census_502,census_502,0,Sutton,Sutton,Sutton,education,pt,452,455,1000
1005,census_502,census_502,1,Sutton,Sutton,Sutton,education,pt,999,1002,1000
1006,census_503,census_503,0,Islington,Islington,"Westminster,City of London",work,car,449,454,1000
1007,census_503,census_503,1,Islington,"Westminster,City of London",Islington,work,car,923,928,1000
1008,census_504,census_504,0,Ealing,Ealing,Brent,work,pt,522,539,1000
1009,census_504,census_504,1,Ealing,Brent,Ealing,work,pt,1114,1131,1000
1010,census_505,census_505,0,Lewisham,Lewisham,Lewisham,work,pt,508,509,1000
1011,census_505,census_505,1,Lewisham,Lewisham,Lewisham,work,pt,1040,1041,1000
1012,census_506,census_506,0,Haringey,Haringey,Barnet,work,pt,432,445,1000
1013,census_506,census_506,1,Haringey,Barnet,Haringey,work,pt,1004,1017,1000
1014,census_507,census_507,0,Hillingdon,Hillingdon,"Westminster,City of London",work,pt,512,545,1000
1015,census_507,census_507,1,Hillingdon,"Westminster,City of London",Hillingdon,work,pt,1025,1058,1000
1016,census_508,census_508,0,Croydon,Croydon,Merton,work,pt,417,436,1000
1017,census_508,census_508,1,Croydon,Merton,Croydon,work,pt,1017,1036,1000
1018,census_509,census_509,0,Brent,Brent,Tower Hamlets,work,pt,443,480,1000
1019,census_509,census_509,1,Brent,Tower Hamlets,Brent,work,pt,965,1002,1000
1020,census_510,census_510,0,Greenwich,Greenwich,Bexley,work,pt,440,459,1000
1021,census_510,census_510,1,Greenwich,Bexley,Greenwich,work,pt,999,1018,1000
1022,census_511,census_511,0,Brent,Brent,Haringey,work,pt,505,530,1000
1023,census_511,census_511,1,Brent,Haringey,Brent,work,pt,1010,1035,1000
1024,census_512,census_512,0,Richmond upon Thames,Richmond upon Thames,"Westminster,City of London",work,car,450,481,1000
1025,census_512,census_512,1,Richmond upon Thames,"Westminster,City of London",Richmond upon Thames,work,car,954,985,1000
1026,census_513,census_513,0,Brent,Brent,"Westminster,City of London",education,pt,471,484,1000
1027,census_513,census_513,1,Brent,"Westminster,City of London",Brent,education,pt,1040,1053,1000
1028,census_514,census_514,0,Redbridge,Redbridge,Islington,work,pt,573,602,1000
1029,census_514,census_514,1,Redbridge,Islington,Redbridge,work,pt,1027,1056,1000
1030,census_515,census_515,0,Greenwich,Greenwich,"Westminster,City of London",work,car,633,664,1000
1031,census_515,census_515,1,Greenwich,"Westminster,City of London",Greenwich,work,car,1110,1141,1000
1032,census_516,census_516,0,Croydon,Croydon,Wandsworth,work,pt,545,562,1000
1033,census_516,census_516,1,Croydon,Wandsworth,Croydon,work,pt,1088,1105,1000
1034,census_517,census_517,0,Enfield,Enfield,Enfield,work,pt,420,427,1000
1035,census_517,census_517,1,Enfield,Enfield,Enfield,work,pt,979,986,1000
1036,census_518,census_518,0,Islington,Islington,Islington,work,pt,560,567,1000
1037,census_518,census_518,1,Islington,Islington,Islington,work,pt,1047,1054,1000
1038,census_519,census_519,0,Ealing,Ealing,Wandsworth,work,car,489,510,1000
1039,census_519,census_519,1,Ealing,Wandsworth,Ealing,work,car,1063,1084,1000
1040,census_520,census_520,0,Greenwich,Greenwich,Newham,work,pt,505,528,1000
1041,census_520,census_520,1,Greenwich,Newham,Greenwich,work,pt,963,986,1000
1042,census_521,census_521,0,Tower Hamlets,Tower Hamlets,"Westminster,City of London",work,pt,513,526,1000
1043,census_521,census_521,1,Tower Hamlets,"Westminster,City of London",Tower Hamlets,work,pt,982,995,1000
1044,census_522,census_522,0,Hillingdon,Hillingdon,Ealing,work,pt,474,489,1000
1045,census_522,census_522,1,Hillingdon,Ealing,Hillingdon,work,pt,1013,1028,1000
1046,census_523,census_523,0,Brent,Brent,Tower Hamlets,work,pt,438,471,1000
1047,census_523,census_523,1,Brent,Tower Hamlets,Brent,work,pt,1025,1058,1000
1048,census_524,census_524,0,Redbridge,Redbridge,Hackney,work,pt,577,606,1000
1049,census_524,census_524,1,Redbridge,Hackney,Redbridge,work,pt,1056,1085,1000
1050,census_525,census_525,0,Barnet,Barnet,Sutton,work,pt,427,472,1000
1051,census_525,census_525,1,Barnet,Sutton,Barnet,work,pt,978,1023,1000
1052,census_526,census_526,0,Hackney,Hackney,Ealing,work,pt,453,496,1000
1053,census_526,census_526,1,Hackney,Ealing,Hackney,work,pt,977,1020,1000
1054,census_527,census_527,0,Havering,Havering,"Westminster,City of London",work,pt,513,568,1000
1055,census_527,census_527,1,Havering,"Westminster,City of London",Havering,work,pt,1044,1099,1000
1056,census_528,census_528,0,Lambeth,Lambeth,Wandsworth,work,car,523,534,1000
1057,census_528,census_528,1,Lambeth,Wandsworth,Lambeth,work,car,1038,1049,1000
1058,census_529,census_529,0,Greenwich,Greenwich,Lambeth,work,pt,417,436,1000
1059,census_529,census_529,1,Greenwich,Lambeth,Greenwich,work,pt,993,1012,1000
1060,census_530,census_530,0,Barnet,Barnet,Harrow,work,pt,547,570,1000
1061,census_530,census_530,1,Barnet,Harrow,Barnet,work,pt,1024,1047,1000
1062,census_531,census_531,0,Bromley,Bromley,Bromley,work,pt,547,568,1000
1063,census_531,census_531,1,Bromley,Bromley,Bromley,work,pt,1012,1033,1000
1064,census_532,census_532,0,Barnet,Barnet,Barnet,work,pt,423,432,1000
1065,census_532,census_532,1,Barnet,Barnet,Barnet,work,pt,1012,1021,1000
1066,census_533,census_533,0,Barnet,Barnet,Brent,work,pt,502,515,1000
1067,census_533,census_533,1,Barnet,Brent,Barnet,work,pt,1111,1124,1000
1068,census_534,census_534,0,Hillingdon,Hillingdon,Hillingdon,work,pt,451,462,1000
1069,census_534,census_534,1,Hillingdon,Hillingdon,Hillingdon,work,pt,981,992,1000
1070,census_535,census_535,0,Wandsworth,Wandsworth,Hounslow,work,pt,481,506,1000
1071,census_535,census_535,1,Wandsworth,Hounslow,Wandsworth,work,pt,951,976,1000
1072,census_536,census_536,0,Barking and Dagenham,Barking and Dagenham,Havering,work,pt,474,495,1000
1073,census_536,census_536,1,Barking and Dagenham,Havering,Barking and Dagenham,work,pt,994,1015,1000
1074,census_537,census_537,0,Islington,Islington,"Westminster,City of London",work,pt,459,466,1000
1075,census_537,census_537,1,Islington,"Westminster,City of London",Islington,work,pt,909,916,1000
1076,census_538,census_538,0,Enfield,Enfield,Barnet,work,pt,570,595,1000
1077,census_538,census_538,1,Enfield,Barnet,Enfield,work,pt,1090,1115,1000
1078,census_539,census_539,0,Southwark,Southwark,"Westminster,City of London",work,pt,480,497,1000
1079,census_539,census_539,1,Southwark,"Westminster,City of London",Southwark,work,pt,991,1008,1000
1080,census_540,census_540,0,Wandsworth,Wandsworth,"Westminster,City of London",work,car,426,437,1000
1081,census_540,census_540,1,Wandsworth,"Westminster,City of London",Wandsworth,work,car,980,991,1000
1082,census_541,census_541,0,Redbridge,Redbridge,Waltham Forest,work,car,499,518,1000
1083,census_541,census_541,1,Redbridge,Waltham Forest,Redbridge,work,car,951,970,1000
1084,census_542,census_542,0,Merton,Merton,Wandsworth,work,pt,454,463,1000
1085,census_542,census_542,1,Merton,Wandsworth,Merton,work,pt,1055,1064,1000
1086,census_543,census_543,0,Hammersmith and Fulham,Hammersmith and Fulham,Islington,work,pt,541,560,1000
1087,census_543,census_543,1,Hammersmith and Fulham,Islington,Hammersmith and Fulham,work,pt,1023,1042,1000
1088,census_544,census_544,0,Enfield,Enfield,Enfield,work,car,488,495,1000
1089,census_544,census_544,1,Enfield,Enfield,Enfield,work,car,1012,1019,1000
1090,census_545,census_545,0,Harrow,Harrow,Brent,work,car,438,465,1000
1091,census_545,census_545,1,Harrow,Brent,Harrow,work,car,890,917,1000
1092,census_546,census_546,0,Redbridge,Redbridge,"Westminster,City of London",work,car,443,470,1000
1093,census_546,census_546,1,Redbridge,"Westminster,City of London",Redbridge,work,car,932,959,1000
1094,census_547,census_547,0,Southwark,Southwark,Lambeth,work,pt,431,436,1000
1095,census_547,census_547,1,Southwark,Lambeth,Southwark,work,pt,931,936,1000
1096,census_548,census_548,0,Redbridge,Redbridge,Redbridge,work,pt,522,525,1000
1097,census_548,census_548,1,Redbridge,Redbridge,Redbridge,work,pt,979,982,1000
1098,census_549,census_549,0,Hammersmith and Fulham,Hammersmith and Fulham,Ealing,work,pt,418,437,1000
1099,census_549,census_549,1,Hammersmith and Fulham,Ealing,Hammersmith and Fulham,work,pt,1038,1057,1000
1100,census_550,census_550,0,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,596,601,1000
1101,census_550,census_550,1,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,1076,1081,1000
1102,census_551,census_551,0,Hillingdon,Hillingdon,"Westminster,City of London",education,pt,453,488,1000
1103,census_551,census_551,1,Hillingdon,"Westminster,City of London",Hillingdon,education,pt,932,967,1000
1104,census_552,census_552,0,Barking and Dagenham,Barking and Dagenham,Southwark,work,pt,406,433,1000
1105,census_552,census_552,1,Barking and Dagenham,Southwark,Barking and Dagenham,work,pt,938,965,1000
1106,census_553,census_553,0,Tower Hamlets,Tower Hamlets,"Westminster,City of London",work,pt,454,467,1000
1107,census_553,census_553,1,Tower Hamlets,"Westminster,City of London",Tower Hamlets,work,pt,990,1003,1000
1108,census_554,census_554,0,Bromley,Bromley,"Westminster,City of London",work,pt,578,621,1000
1109,census_554,census_554,1,Bromley,"Westminster,City of London",Bromley,work,pt,1112,1155,1000
1110,census_555,census_555,0,Waltham Forest,Waltham Forest,"Westminster,City of London",work,pt,473,490,1000
1111,census_555,census_555,1,Waltham Forest,"Westminster,City of London",Waltham Forest,work,pt,988,1005,1000
1112,census_556,census_556,0,Waltham Forest,Waltham Forest,Barnet,work,pt,442,461,1000
1113,census_556,census_556,1,Waltham Forest,Barnet,Waltham Forest,work,pt,899,918,1000
1114,census_557,census_557,0,Kensington and Chelsea,Kensington and Chelsea,"Westminster,City of London",education,pt,446,453,1000
1115,census_557,census_557,1,Kensington and Chelsea,"Westminster,City of London",Kensington and Chelsea,education,pt,961,968,1000
1116,census_558,census_558,0,Redbridge,Redbridge,"Westminster,City of London",work,pt,568,601,1000
1117,census_558,census_558,1,Redbridge,"Westminster,City of London",Redbridge,work,pt,1028,1061,1000
1118,census_559,census_559,0,Islington,Islington,Islington,work,pt,649,654,1000
1119,census_559,census_559,1,Islington,Islington,Islington,work,pt,1121,1126,1000
1120,census_560,census_560,0,Haringey,Haringey,"Westminster,City of London",work,pt,469,484,1000
1121,census_560,census_560,1,Haringey,"Westminster,City of London",Haringey,work,pt,972,987,1000
1122,census_561,census_561,0,Waltham Forest,Waltham Forest,"Westminster,City of London",work,pt,434,457,1000
1123,census_561,census_561,1,Waltham Forest,"Westminster,City of London",Waltham Forest,work,pt,955,978,1000
1124,census_562,census_562,0,Lambeth,Lambeth,Lambeth,work,pt,575,582,1000
1125,census_562,census_562,1,Lambeth,Lambeth,Lambeth,work,pt,1056,1063,1000
1126,census_563,census_563,0,Islington,Islington,"Westminster,City of London",work,car,531,542,1000
1127,census_563,census_563,1,Islington,"Westminster,City of London",Islington,work,car,1045,1056,1000
1128,census_564,census_564,0,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,439,448,1000
1129,census_564,census_564,1,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,981,990,1000
1130,census_565,census_565,0,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,442,447,1000
1131,census_565,census_565,1,"Westminster,City of London","Westminster,City of London","Westminster,City of London",work,pt,1047,1052,1000
1132,census_566,census_566,0,Sutton,Sutton,Ealing,work,pt,497,536,1000
1133,census_566,census_566,1,Sutton,Ealing,Sutton,work,pt,996,1035,1000
1134,census_567,census_567,0,Newham,Newham,Hackney,work,pt,502,511,1000
1135,census_567,census_567,1,Newham,Hackney,Newham,work,pt,1016,1025,1000
1136,census_568,census_568,0,Merton,Merton,Kingston upon Thames,work,pt,501,520,1000
1137,census_568,census_568,1,Merton,Kingston upon Thames,Merton,work,pt,1048,1067,1000
1138,census_569,census_569,0,Sutton,Sutton,Kingston upon Thames,work,pt,471,488,1000
1139,census_569,census_569,1,Sutton,Kingston upon Thames,Sutton,work,pt,1003,1020,1000
1140,census_570,census_570,0,Hillingdon,Hillingdon,Hillingdon,work,pt,427,428,1000
1141,census_570,census_570,1,Hillingdon,Hillingdon,Hillingdon,work,pt,969,970,1000
1142,census_571,census_571,0,Hounslow,Hounslow,Richmond upon Thames,work,pt,434,443,1000
1143,census_571,census_571,1,Hounslow,Richmond upon Thames,Hounslow,work,pt,994,1003,1000
1144,census_572,census_572,0,Redbridge,Redbridge,Lewisham,work,car,565,598,1000
1145,census_572,census_572,1,Redbridge,Lewisham,Redbridge,work,car,1135,1168,1000
1146,census_573,census_573,0,Waltham Forest,Waltham Forest,Tower Hamlets,education,car,535,552,1000
1147,census_573,census_573,1,Waltham Forest,Tower Hamlets,Waltham Forest,education,car,1170,1187,1000
1148,census_574,census_574,0,Haringey,Haringey,Hackney,work,pt,483,498,1000
1149,census_574,census_574,1,Haringey,Hackney,Haringey,work,pt,1076,1091,1000
1150,census_575,census_575,0,Greenwich,Greenwich,"Westminster,City of London",work,pt,460,495,1000
1151,census_575,census_575,1,Greenwich,"Westminster,City of London",Greenwich,work,pt,948,983,1000
1152,census_576,census_576,0,Sutton,Sutton,Sutton,work,pt,626,631,1000
1153,census_576,census_576,1,Sutton,Sutton,Sutton,work,pt,1128,1133,1000
1154,census_577,census_577,0,Greenwich,Greenwich,"Westminster,City of London",work,pt,512,545,1000
1155,census_577,census_577,1,Greenwich,"Westminster,City of London",Greenwich,work,pt,1041,1074,1000
1156,census_578,census_578,0,Waltham Forest,Waltham Forest,"Westminster,City of London",work,pt,428,451,1000
1157,census_578,census_578,1,Waltham Forest,"Westminster,City of London",Waltham Forest,work,pt,1009,1032,1000
1158,census_579,census_579,0,Barking and Dagenham,Barking and Dagenham,"Westminster,City of London",work,car,445,482,1000
1159,census_579,census_579,1,Barking and Dagenham,"Westminster,City of London",Barking and Dagenham,work,car,1009,1046,1000
1160,census_580,census_580,0,Havering,Havering,Havering,work,pt,513,522,1000
1161,census_580,census_580,1,Havering,Havering,Havering,work,pt,1043,1052,1000
1162,census_581,census_581,0,Lambeth,Lambeth,"Westminster,City of London",work,car,437,442,1000
1163,census_581,census_581,1,Lambeth,"Westminster,City of London",Lambeth,work,car,955,960,1000
1164,census_582,census_582,0,Sutton,Sutton,"Westminster,City of London",work,pt,528,551,1000
1165,census_582,census_582,1,Sutton,"Westminster,City of London",Sutton,work,pt,1112,1135,1000
1166,census_583,census_583,0,Barnet,Barnet,Enfield,work,pt,422,451,1000
1167,census_583,census_583,1,Barnet,Enfield,Barnet,work,pt,890,919,1000
1168,census_584,census_584,0,Barking and Dagenham,Barking and Dagenham,"Westminster,City of London",education,pt,460,493,1000
1169,census_584,census_584,1,Barking and Dagenham,"Westminster,City of London",Barking and Dagenham,education,pt,971,1004,1000
1170,census_585,census_585,0,Hammersmith and Fulham,Hammersmith and Fulham,Hammersmith and Fulham,work,pt,459,460,1000
1171,census_585,census_585,1,Hammersmith and Fulham,Hammersmith and Fulham,Hammersmith and Fulham,work,pt,1043,1044,1000
1172,census_586,census_586,0,Ealing,Ealing,Hillingdon,work,pt,586,603,1000
1173,census_586,census_586,1,Ealing,Hillingdon,Ealing,work,pt,1026,1043,1000
1174,census_587,census_587,0,Barnet,Barnet,Barnet,work,pt,540,545,1000
1175,census_587,census_587,1,Barnet,Barnet,Barnet,work,pt,1052,1057,1000
1176,census_588,census_588,0,Ealing,Ealing,Lambeth,work,pt,514,537,1000
1177,census_588,census_588,1,Ealing,Lambeth,Ealing,work,pt,1036,1059,1000
1178,census_589,census_589,0,Barnet,Barnet,Barnet,education,pt,591,598,1000
1179,census_589,census_589,1,Barnet,Barnet,Barnet,education,pt,1119,1126,1000
1180,census_590,census_590,0,Bexley,Bexley,Lambeth,education,pt,491,528,1000
1181,census_590,census_590,1,Bexley,Lambeth,Bexley,education,pt,1024,1061,1000
1182,census_591,census_591,0,Greenwich,Greenwich,Greenwich,education,pt,498,501,1000
1183,census_591,census_591,1,Greenwich,Greenwich,Greenwich,education,pt,1044,1047,1000
1184,census_592,census_592,0,Enfield,Enfield,Barnet,work,pt,493,520,1000
1185,census_592,census_592,1,Enfield,Barnet,Enfield,work,pt,948,975,1000
1186,census_593,census_593,0,Newham,Newham,Newham,work,pt,540,547,1000
1187,census_593,census_593,1,Newham,Newham,Newham,work,pt,1094,1101,1000
1188,census_594,census_594,0,Waltham Forest,Waltham Forest,Waltham Forest,work,pt,463,470,1000
1189,census_594,census_594,1,Waltham Forest,Waltham Forest,Waltham Forest,work,pt,923,930,1000
